Tangra v3.7.0.5
Measurments of 4 objects
D:\SharpCap Captures\(75975) 2000 CD121\2025-12-04\Light\08_48_48Z_.adv
Asteroidal Video (ADV2.16), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,asi462mm,,7,1383,,ADV,8.0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,3.09,4.78,2.33,yes,141.7,253.0,no
2,GuidingStar,3.09,,2.32,yes,105.9,276.7,no
3,GuidingStar,3.09,,2.37,yes,165.0,142.9,no
4,GuidingStar,3.09,,2.32,yes,365.9,244.6,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3),Signal (4), Background (4)
7,[08:48:48.666],87877,44718,104550,44342,100030,45198,167000,44012
8,[08:48:48.726],83046,41474,89773,48947,101960,41915,154820,43293
9,[08:48:48.786],82551,44459,95634,43554,91254,44427,155670,38895
10,[08:48:48.846],81904,46968,105170,45441,98289,43902,170740,44855
11,[08:48:48.906],92863,43852,98906,41984,103160,46688,164140,45115
12,[08:48:48.967],94898,44984,104220,48752,99104,43785,172390,45500
13,[08:48:49.026],80110,44317,117120,44195,96545,45599,156360,44016
14,[08:48:49.086],94275,42943,95481,48180,117130,45500,167190,43850
15,[08:48:49.146],86924,44514,105130,46386,89284,43991,151060,42268
16,[08:48:49.206],84810,46876,111260,44808,110680,43252,128040,41634
17,[08:48:49.266],82547,45358,102620,45784,102600,41593,178390,45395
18,[08:48:49.326],91125,45008,98410,45424,95308,44674,163290,42247
19,[08:48:49.386],80664,44170,100630,41370,101380,45432,159050,41778
20,[08:48:49.452],89066,45819,100670,44942,108180,47123,155560,46361
21,[08:48:49.507],80331,46345,98296,47513,99692,43703,165150,42182
22,[08:48:49.567],84172,44334,92781,45310,105870,45274,157430,44806
23,[08:48:49.626],81708,43890,99186,42792,105320,42152,156730,47173
24,[08:48:49.686],84796,45153,99859,43216,104660,47154,159920,44262
25,[08:48:49.746],86965,44944,109000,47288,98439,46052,154690,41918
26,[08:48:49.806],94651,46829,105710,42889,95978,46665,163770,42463
27,[08:48:49.866],85849,39968,103230,44696,93976,45249,161660,43941
28,[08:48:49.926],74738,40505,86908,46540,99395,45821,135830,44242
29,[08:48:49.986],90866,40285,102050,44490,105080,43741,162200,42544
30,[08:48:50.046],80874,43351,101910,47343,100530,44685,160310,41942
31,[08:48:50.106],75896,44232,102960,47065,120760,44840,160230,44418
32,[08:48:50.166],84461,47033,109170,40619,104020,39326,155920,43836
33,[08:48:50.226],84190,44901,94652,46148,100950,45013,175390,44719
34,[08:48:50.287],81819,43377,103910,46834,106620,44169,176610,42826
35,[08:48:50.347],83785,46894,108080,44329,108510,41221,152090,45287
36,[08:48:50.407],94742,45252,105400,44823,105220,45118,156640,44322
37,[08:48:50.467],88710,42450,113170,39456,112470,41303,162880,42491
38,[08:48:50.527],81504,43551,112340,45773,99810,46581,162990,44879
39,[08:48:50.587],83000,43822,112650,44138,108250,45009,161330,43958
40,[08:48:50.646],87096,39940,107900,44530,103450,44325,160420,43214
41,[08:48:50.706],79298,42996,112780,46593,97732,40745,174210,43083
42,[08:48:50.766],90637,45200,103760,42699,106800,46164,164190,44369
43,[08:48:50.826],71342,40581,100230,46723,98032,42358,158760,43688
44,[08:48:50.886],89326,42094,104480,43840,104000,46763,164550,44923
45,[08:48:50.946],76349,47820,107600,46072,106580,46849,149560,44547
46,[08:48:51.007],81406,46241,100460,46272,105650,41024,160440,46014
47,[08:48:51.069],80710,45731,98283,46569,93558,44455,168760,43687
48,[08:48:51.127],87108,45033,103650,43205,104590,45814,142650,46271
49,[08:48:51.186],82613,45884,100320,41240,111500,47641,150590,44109
50,[08:48:51.247],82411,45306,110180,44859,96519,45365,144360,41925
51,[08:48:51.307],92150,46542,103370,45782,111260,46277,160660,44428
52,[08:48:51.366],80564,42563,95826,44582,87057,46491,160030,46666
53,[08:48:51.426],88831,44790,106280,37294,101530,45754,156970,44454
54,[08:48:51.486],73221,43591,97087,44631,108560,44929,169110,42190
55,[08:48:51.546],91196,45370,106420,41324,103440,47572,161070,45168
56,[08:48:51.606],92200,47032,102380,44775,99100,41342,163230,44238
57,[08:48:51.666],88014,45510,106660,47283,106750,41845,159050,44733
58,[08:48:51.726],95249,42117,105430,45250,101870,45696,143330,45971
59,[08:48:51.787],89415,39595,108070,46543,106720,41774,147440,43600
60,[08:48:51.847],84896,43572,104720,40506,114670,43031,159410,44983
61,[08:48:51.907],90036,44375,103230,43459,102740,46738,166110,43905
62,[08:48:51.966],99592,46349,101460,45493,100000,44523,167150,42729
63,[08:48:52.026],87849,46430,109830,44072,107810,47123,153170,45573
64,[08:48:52.086],84094,42898,97748,45342,99636,44549,158080,44993
65,[08:48:52.146],86752,38844,114080,43473,102850,45378,150230,46323
66,[08:48:52.206],89620,42153,106810,45448,110100,45949,155800,44298
67,[08:48:52.266],88116,47584,108600,41072,107400,42073,146970,46632
68,[08:48:52.326],79512,47097,98843,46017,105090,46435,167800,42866
69,[08:48:52.387],83351,44909,97726,44236,105520,44943,155460,45187
70,[08:48:52.447],98500,40104,111230,45341,109180,46224,153630,45873
71,[08:48:52.507],86120,44427,91471,46618,100220,42266,140220,46894
72,[08:48:52.567],78801,44385,106440,41845,105220,43474,165170,46358
73,[08:48:52.627],80820,41383,110520,41185,108500,43076,164730,45249
74,[08:48:52.687],80249,46535,101520,45191,109540,47888,162950,43624
75,[08:48:52.747],94665,44214,113230,46924,116560,45322,157150,44845
76,[08:48:52.806],81888,44316,104510,44688,99602,45894,170950,43717
